,street,latitude,longitude,plz
2262,Bachlettenstrasse 56,47.5486461,7.5789485,4054
2263,Müllheimerstrasse 89,47.567907,7.5920939,4057
2264,Sempacherstrasse 17,47.5442936,7.588372499999999,4053
2265,Wanderstrasse 12,47.5529421,7.5694131,4054
2266,Röttelerstrasse 9,47.56923020000001,7.6166029,4058
2267,Hammerstrasse 139,47.5675976,7.5948039,4057
2268,Fürstensteinerstrasse 30,47.5377885,7.597665200000001,4053
2269,Steinbühlallee 23,47.5515146,7.558728700000001,4054
2270,Immengasse 3,47.5665134,7.5805352,4056
2271,Wasgenring 129,47.5594316,7.5648716,4055
2272,Wollbacherstrasse 16,47.56658239999999,7.6189594,4058
2273,In den Ziegelhöfen 153,47.5448966,7.5573988,4054
2274,Nufenenstrasse 34,47.5502598,7.5631894,4054
2275,Mythenstrasse 17,47.5555114,7.5639457,4054
2276,Riehenstrasse 235,47.5673319,7.6110552,4058
2277,"Lange Gasse 76, 78",47.5512035,7.6003754,4052
2278,Angensteinerstrasse 23,47.5496426,7.603930800000001,4052
2279,Augustinergasse 5,47.55779080000001,7.590776000000001,4051
2280,Kleinriehenstrasse 103,47.56891479999999,7.6170271,4058
2281,Thiersteinerrain 141,47.5355613,7.595281299999999,4059
2282,Colmarerstrasse 88,47.5590841,7.5700526,4055
2283,Hammerstrasse 10,47.559921,7.598305900000001,4058
2284,General Guisan-Strasse 40,47.551441,7.568692100000001,4054
2285,Neubadstrasse 76,47.5488146,7.5688584,4054
2286,"Fasanenstrasse 68, 70",47.5726902,7.6062084,4058
2287,Fasanenstrasse 76,47.5726173,7.606899200000001,4058
2288,Küchengasse 13,47.5484029,7.5892851,4051
2289,Blauenstrasse 67,47.553766,7.5726403,4054
2290,Feldbergstrasse 23,47.5659017,7.5886183,4057
2291,Mülhauserstrasse 67,47.568022,7.579403399999999,4056
2292,Birmannsgasse 49,47.5569911,7.575707299999999,4055
2293,Maulbeerstrasse 33,47.56730109999999,7.601208199999999,4058
2294,Im langen Loh 186,47.5491478,7.5601182,4054
2295,Birsigstrasse 44,47.55042539999999,7.5833556,4054
2296,Holeestrasse 135,47.5458581,7.5666727,4054
2297,Hegenheimerstrasse 169,47.5633343,7.5653991,4055
2298,Isteinerstrasse 90,47.5671688,7.5993075,4058
2299,Mattenstrasse,47.5660144,7.602016799999999,4058
2300,Feldbergstrasse 125,47.56729,7.5961717,4057
2301,Zürcherstrasse 85,47.5545579,7.610615900000001,4052
2302,Mülhauserstrasse 101,47.5672418,7.5775276,4056
2303,Grienstrasse 41,47.5630289,7.5650263,4055
2304,Rudolfstrasse 22,47.55483359999999,7.574825,4054
2305,Jungstrasse 21,47.5673743,7.5794947,4056
2306,Rufacherstrasse 75,47.5595848,7.568201500000001,4055
2307,"Spalenvorstadt 20, 22,24,26,28",47.55759219999999,7.5825371,4051
2308,Spalengraben 3,47.5580714,7.5822603,4051
2309,"Bruderholzrain 30, 30A, 30B, 30C, 32",47.5378299,7.593667699999998,4059
2310,Bristenweg 26,47.5496261,7.566987300000001,4054
2311,Feierabendstrasse 56,47.5532666,7.580044699999999,4051
2312,Novarastrasse 3,47.5347562,7.584973300000001,4059
2313,Flughafenstrasse 46,47.5680771,7.570685999999999,4056
2314,Bäumlihofstrasse 41,47.5633725,7.6131646,4058
2315,Paradieshofstrasse 116,47.5477461,7.558826499999999,4054
2316,Solothurnerstrasse 48,47.5438626,7.589901,4053
2317,Steinengraben 40,47.5534481,7.5857031,4051
2318,In den Schorenmatten 19,47.5705724,7.609152,4058
2319,Erlenmattstrasse 21,47.5701756,7.600647799999999,4058
2320,"Erlenmattstrasse 21d, 21e,",47.5701756,7.600647799999999,4058
2321,"Erlenmattstrasse 21a, 21b, 21c,",47.5701756,7.600647799999999,4058
2322,"Mittlere Strasse 131,",47.5640969,7.575074499999999,4056
2323,Stöberstrasse 1,47.5595396,7.5728705,4055
2324,Grellingerstrasse 38,47.5500796,7.606482799999999,4052
2325,"Sempacherstrasse 47, 49",47.5430722,7.5874574,4053
2326,Greifengasse 1,47.5609226,7.590783800000001,4058
2327,Göschenenstrasse 85,47.54687320000001,7.5593426,4054
2328,"Auf dem Wolf 10, 18, 32",47.54059789999999,7.6140901,4052
2329,Birsstrasse 256,47.5451907,7.6219024,4052
2330,"Erlenmattstrasse 23, 23a, 25, 25a, 27, 27",47.5701876,7.600867600000001,4058
2331,"Erlenmattstrasse 21f, 21g",47.5701756,7.600647799999999,4058
2332,Laufenstrasse 22,47.5419864,7.599244999999999,4053
2333,Laufenstrasse 20,47.5421124,7.599218800000001,4053
2334,Arnold Böcklin-Strasse 42,47.5516116,7.5767696,4051
2335,"Erlenmattstrasse 23, 23a, 25, 25a, 27, 27a,",47.5701876,7.600867600000001,4058
2336,Hermann Albrecht-Strasse 2,47.5685776,7.6139961,4058
2337,Paradieshofstrasse 150,47.54674809999999,7.558611699999999,4054
2338,Hirzbodenweg 86,47.5485682,7.606796800000001,4052
2339,Röschenzerstrasse 6,47.54125699999999,7.5877386,4053
2340,Solothurnerstrasse 19,47.5451674,7.5914615,4053
2341,Parkweg 35,47.54828209999999,7.5925689,4051
2342,Münsterberg 1,47.555304,7.5909597,4051
2343,Rümelinsplatz 14,47.5570939,7.587253199999999,4001
2344,Clarastrasse 12,47.5621637,7.59613,4058
2345,Im Wasenboden 41,47.57050479999999,7.5704303,4056
2346,Wasensträsschen 24,47.5707072,7.5697453,4056
2347,Im langen Loh 264,47.54675599999999,7.5596346,4054
2348,Schliengerweg 18,47.5719279,7.595835800000001,4057
2349,Sierenzerstrasse 21,47.5601442,7.5699139,4055
2350,Laupenring 159,47.5487094,7.5664404,4054
2351,Totentanz 4,47.561853,7.5861371,4051
2352,Mittlere Strasse 40,47.5616584,7.578211599999999,4056
2353,St. Johanns-Ring 131,47.5622622,7.57499,4056
2354,Rheinländerstrasse 15,47.5634996,7.578169,4056
2355,Rheinländerstrasse 17,47.5634548,7.5780626,4056
2356,Sperrstrasse 105,47.5661016,7.597111699999998,4057
2357,Schöllenenstrasse 31,47.5512476,7.564626499999999,4054
2358,Faidostrasse 9,47.5338197,7.5859136,4059
2359,Gasstrasse 8,47.57042190000001,7.577090699999999,4056
